1,53152
12,53092
24,53032
36,52972
48,52912
60,52852
72,52792
84,52732
96,52672
108,52612
120,52548
132,52484
144,52420
156,52356
168,52292
180,52228
192,52164
204,52100
216,52036
228,51972
240,51908
252,51844
264,51780
276,51716
288,51652
307,51588
319,51524
331,51460
343,51396
355,51332
367,51268
379,51204
391,51140
403,51076
415,51012
427,50948
439,50884
451,50820
463,50756
475,50692
487,50628
499,50564
511,50500
523,50436
535,50372
547,50308
559,50244
571,50180
591,50116
603,50052
615,49988
627,49924
639,49860
651,49796
663,49732
675,49668
689,55932
701,55868
713,55804
725,55740
737,55676
749,55612
761,55548
773,55484
785,55420
797,55356
809,55292
821,55228
833,55164
845,55100
857,55036
877,54972
889,54908
901,54844
913,54780
925,54716
937,54652
949,54588
961,54524
973,54460
985,54396
997,54332
1009,54268
1021,54204
1033,54140
1045,54076
1057,54012
1069,53948
1081,53884
1093,53820
1105,53756
1117,53692
1129,53628
1149,53564
1161,53500
1173,53436
1185,53372
1197,53308
1209,53244
1221,53180
1233,53116
1245,53052
1257,52988
1269,52924
1281,52860
1293,52796
1305,52732
1317,52668
1329,52604
1341,52540
1353,52476
1365,52412
1377,52348
1389,52284
1401,52220
1421,52156
1433,52092
1445,52028
1457,51964
1469,51900
1481,51836
1493,51772
1505,51708
1517,51644
1529,51580
1541,51516
1553,51452
1565,51388
1577,51324
1589,51260
1601,51196
1613,51132
1625,51068
1637,51004
1649,50940
1661,50876
1681,50812
1693,50748
1705,50684
1717,50620
1729,50556
1741,50492
1753,50428
1765,50364
1777,50300
1789,50236
1801,50172
1813,50108
1825,50044
1837,49980
1849,49916
1861,49852
1873,49788
1885,49724
1897,49660
1909,49596
1921,49532
1941,49468
1953,49404
1965,49340
1977,49276
1989,49212
2001,49148
2013,49084
2025,49020
2037,48956
2049,48892
2061,48828
2073,48764
2085,48700
2097,48636
2109,48572
2121,48508
2133,48444
2145,48380
2157,48316
2169,48252
2181,48188
2193,48124
2213,48060
2225,47996
2237,47932
2249,47868
2261,47804
2273,47740
2285,47676
2297,47612
2309,47548
2321,47484
2333,47420
2345,47356
2357,47292
2369,47228
2381,47164
2393,47100
2405,47036
2417,46972
2429,46908
2441,46844
2453,46780
2473,46716
2485,46652
2497,46588
2509,46524
2521,46460
2533,46396
2545,46332
2557,46268
2569,46204
2581,46140
2593,46076
2605,46012
2617,45948
2629,45884
2641,45820
2653,45756
2665,45692
2677,45628
2689,45564
2701,45500
2713,45436
2733,45372
2745,45308
2757,45244
2769,45180
2781,45116
2793,45052
2805,44988
2817,44924
2829,44860
2841,44796
2853,44732
2865,44668
2877,44604
2889,44540
2901,44476
2913,44412
2925,44348
2937,44284
2949,44220
2961,44156
2973,44092
2985,44028
3005,43964
3017,43900
3029,43836
3041,43772
3053,43708
3065,43644
3077,43580
3089,43516
3101,43452
3113,43388
3125,43324
3137,43260
3149,43196
3161,43132
3173,43068
3185,43004
3197,42940
3209,42876
3221,42812
3233,42748
3245,42684
3265,42620
3277,42556
3289,42492
3301,42428
3313,42364
3325,42300
3337,42236
3349,42172
3361,42108
3373,42044
3385,41980
3397,41916
3409,41852
3421,41788
3433,41724
3445,41660
3457,41596
3469,41532
3481,41468
3493,41404
3505,41340
3525,41276
3537,41212
3549,41148
3561,41084
3573,41020
3585,40956
3597,40892
3609,40828
3621,40764
3633,40700
3645,40636
3657,40572
3669,40508
3681,40444
3693,40380
3705,40316
3717,40252
3729,40188
3741,40124
3753,40060
3765,39996
3777,39932
3797,39868
3809,39804
3821,39740
3833,39676
3845,39612
3861,55932
3873,55868
3885,55804
3897,55740
3909,55676
3921,55612
3933,55548
3945,55484
3957,55420
3969,55356
3981,55292
3993,55228
4005,55164
4017,55100
4029,55036
4041,54972
4061,54908
4073,54844
4085,54780
4097,54716
4109,54652
4121,54588
4133,54524
4145,54460
4157,54396
4169,54332
4181,54268
4193,54204
4205,54140
4217,54076
4229,54012
4241,53948
4253,53884
4265,53820
4277,53756
4289,53692
4301,53628
4321,53564
4333,53500
4345,53436
4357,53372
4369,53308
4381,53244
4393,53180
4405,53116
4417,53052
4429,52988
4441,52924
4453,52860
4465,52796
4477,52732
4489,52668
4501,52604
4513,52540
4525,52476
4537,52412
4549,52348
4561,52284
4573,52220
4593,52156
4605,52092
4617,52028
4629,51964
4641,51900
4653,51836
4665,51772
4677,51708
4689,51644
4701,51580
4713,51516
4725,51452
4737,51388
4749,51324
4761,51260
4773,51196
4785,51132
4797,51068
4809,51004
4821,50940
4833,50876
4853,50812
4865,50748
4877,50684
4889,50620
4901,50556
4913,50492
4925,50428
4937,50364
4949,50300
4961,50236
4973,50172
4985,50108
4997,50044
5009,49980
5021,49916
5033,49852
5045,49788
5057,49724
5069,49660
5081,49596
5093,49532
5113,49468
5125,49404
5137,49340
5149,49276
5161,49212
5173,49148
5185,49084
5197,49020
5209,48956
5221,48892
5233,48828
5245,48764
5257,48700
5269,48636
5281,48572
5293,48508
5305,48444
5317,48380
5329,48316
5341,48252
5353,48188
5365,48124
5385,48060
5397,47996
5409,47932
5421,47868
5433,47804
5445,47740
5457,47676
5469,47612
5481,47548
5493,47484
5505,47420
5517,47356
5529,47292
5541,47228
5553,47164
5565,47100
5577,47036
5589,46972
5601,46908
5613,46844
5625,46780
5645,46716
5657,46652
5669,46588
5681,46524
5693,46460
5705,46396
5717,46332
5729,46268
5741,46204
5753,46140
5765,46076
5777,46012
5789,45948
5801,45884
5813,45820
5825,45756
5837,45692
5849,45628
5861,45564
5873,45500
5885,45436
5905,45372
5917,45308
5929,45244
